County,FIPS,Name,StartMonthJan,StartMonthFeb,StartMonthMar,StartMonthApr,StartMonthMay,StartMonthJun,StartMonthJul,StartMonthAug,StartMonthSept,StartMonthOct,StartMonthNov,StartMonthDec,StartYear2013,StartYear2014,StartYear2015,StartYear2016,StartYear2017,StartHour0,StartHour1,StartHour2,StartHour3,StartHour4,StartHour5,StartHour6,StartHour7,StartHour8,StartHour9,StartHour10,StartHour11,StartHour12,StartHour13,StartHour14,StartHour15,StartHour16,StartHour17,StartHour18,StartHour19,StartHour20,StartHour21,StartHour22,StartHour23,StartDayMon,StartDayTues,StartDayWed,StartDayThurs,StartDayFri,StartDaySat,StartDaySun,depressed_raw,suicidal_thoughts_raw,self_harm_raw,third_party_raw,abuse_physical_raw,abuse_sexual_raw,anxiety_raw,bereavement_raw,bully_raw,eating_raw,family_raw,friend_raw,gender_lgbtq_raw,isolated_raw,medical_raw,other_raw,relationship_raw,stress_raw,substance_abuse_raw,financial_raw,mental_raw,none_raw,work_raw,testing_raw,abuse_emotional_raw,domestic_violence_raw,military_raw,school_raw,election_raw,homeless_raw,homicide_raw,medication_raw,psychiatric_hospitalization_raw,therapist_psychiatrist_raw,sexual_assault_raw,suicidal_desire_raw,suicidal_intent_raw,suicidal_capability_raw,suicidal_timeframe_raw,active_rescue_raw,mandatory_report_raw,Convo_length_min_MEAN,Convo_length_min_MEDIAN,Convo_length_min_MIN,Convo_length_min_MAX,convo,NumConvos_MEAN,NumConvos_MEDIAN,NumConvos_MIN,NumConvos_MAX,FirstToLastConvoMin_MEAN,FirstToLastConvoMin_MEDIAN,FirstToLastConvoMin_MIN,FirstToLastConvoMin_MAX,FirstToLastConvoHours_MEAN,FirstToLastConvoHours_MEDIAN,FirstToLastConvoHours_MIN,FirstToLastConvoHours_MAX,FirstToLastConvoDays_MEAN,FirstToLastConvoDays_MEDIAN,FirstToLastConvoDays_MIN,FirstToLastConvoDays_MAX,actor_meanlength_min,NumIssues_MEAN,NumIssues_MEDIAN,NumIssues_MIN,NumIssues_MAX,abuse_emotional_EVER_SUM,abuse_physical_EVER_SUM,abuse_sexual_EVER_SUM,anxiety_EVER_SUM,bereavement_EVER_SUM,bully_EVER_SUM,depressed_EVER_SUM,domestic_violence_EVER_SUM,eating_EVER_SUM,election_EVER_SUM,family_EVER_SUM,financial_EVER_SUM,friend_EVER_SUM,gender_lgbtq_EVER_SUM,homeless_EVER_SUM,homicide_EVER_SUM,isolated_EVER_SUM,medical_EVER_SUM,medication_EVER_SUM,mental_EVER_SUM,military_EVER_SUM,other_EVER_SUM,psychiatric_hospitalization_EVER_SUM,relationship_EVER_SUM,school_EVER_SUM,self_harm_EVER_SUM,sexual_assault_EVER_SUM,stress_EVER_SUM,substance_abuse_EVER_SUM,suicidal_capability_EVER_SUM,suicidal_desire_EVER_SUM,suicidal_intent_EVER_SUM,suicidal_thoughts_EVER_SUM,suicidal_timeframe_EVER_SUM,therapist_psychiatrist_EVER_SUM,work_EVER_SUM,UndupNumIssues_MEAN,UndupNumIssues_MEDIAN,UndupNumIssues_MIN,UndupNumIssues_MAX,Stigma_MEAN,Stigma_MEDIAN,Stigma_MIN,Stigma_MAX
 ,,,2,2,5,6,3,14,27,0,0,0,2,2,0,0,0,4,59,4,5,5,7,3,3,0,2,0,0,2,1,1,2,3,4,0,3,1,2,3,2,4,6,9,5,6,7,12,13,11,15,10,5,2,0,4,4,1,1,2,6,7,1,9,6,5,6,7,2,2,6,6,2,0,2,0,0,2,0,0,0,1,0,4,6,7,1,1,0,0,0,44.39712643,44.28333333,4.1,92.4,63,8.285714286,3,1,22,58043.4966,68531.35,14.0833333,207633.5667,967.39161,1142.189167,0.234722222,3460.559444,40.30798375,47.59121528,0.009780093,144.1899769,45.58763868,1.984126984,1,0,8,21,0,9,25,15,2,36,0,17,0,30,5,23,15,0,0,26,21,3,16,0,29,0,21,4,14,8,28,4,3,22,3,25,0,18,5,7.111111111,6,0,15,2.035714286,1,1,5
#N/A,,,1,0,2,0,6,9,16,0,0,0,0,0,0,0,0,0,34,2,1,2,1,3,0,1,0,0,0,1,2,1,3,1,1,4,1,3,1,1,2,1,2,2,7,2,3,4,5,11,8,8,1,1,0,2,7,1,0,2,7,1,1,3,0,7,5,5,0,0,3,1,0,1,3,1,0,2,0,1,0,0,1,3,0,6,3,2,1,1,0,47.36881721,51.43333337,6.966666698,100.5666667,34,2.794117647,2,1,9,13097.75789,5031.8,1912.166667,48673.1,218.2959649,83.86333333,31.86944444,811.2183333,9.095665205,3.494305556,1.327893518,33.80076389,49.38769532,2.470588235,2,0,7,6,0,5,16,1,0,10,6,2,0,11,0,2,3,5,0,6,0,0,10,0,13,2,8,6,1,0,7,0,2,9,3,12,1,6,0,4.5,4,1,9,2.166666667,2.5,1,5
ALBANY,36001,Albany,205,188,222,161,218,259,261,130,145,173,217,205,27,198,353,1007,799,193,203,226,189,157,113,59,52,33,14,27,25,46,41,53,59,80,85,82,104,141,127,126,149,405,360,263,371,314,331,340,643,466,268,94,32,67,483,38,53,71,443,253,33,222,59,189,417,444,59,47,133,131,60,32,33,8,2,92,6,10,0,16,13,23,5,384,171,117,40,17,14,50.24793703,47.03333337,1.599999936,115.9499999,2384,8.902265101,3,1,44,430567.9573,327503.95,8.95,1666206.65,7176.132622,5458.399167,0.149166667,27770.11083,299.0055259,227.4332986,0.006215278,1157.087951,51.18159109,2.265100671,2,0,15,127,104,276,1189,159,199,1438,11,353,19,1177,209,896,105,15,0,860,353,126,470,11,790,120,918,436,802,54,1239,363,491,996,552,1122,258,142,168,6.941275168,6,0,23,2.407919847,3,1,5
ALLEGANY,36003,Allegany,9,6,8,2,12,10,9,7,3,2,1,1,0,3,8,33,26,5,10,5,11,6,3,3,1,1,0,0,0,2,2,1,4,2,3,1,1,1,3,3,2,10,10,9,12,9,11,9,15,10,6,1,0,1,8,1,1,0,19,3,0,5,1,7,19,9,2,1,4,8,5,3,1,0,0,2,0,1,0,0,0,0,1,7,6,5,3,2,2,47.75435897,46.48333333,4.349999968,113.6333333,70,4.485714286,1,1,15,208565.0176,243768.4667,270.0666667,381742.1333,3476.083627,4062.807778,4.501111111,6362.368889,144.8368178,169.2836574,0.187546296,265.0987037,47.99179487,2.042857143,1,0,11,1,0,1,24,1,15,20,0,0,0,31,1,5,0,3,0,7,1,0,5,0,24,0,30,2,7,1,25,4,7,23,8,28,6,0,10,4.142857143,3,0,12,2.774193548,3,1,5
BRONX,36005,Bronx,180,181,229,178,201,217,263,110,104,128,181,185,31,141,326,903,756,174,169,178,174,100,88,66,52,31,17,32,37,32,66,61,76,79,78,101,105,98,104,100,139,326,296,356,273,333,278,295,548,334,141,76,23,47,376,38,56,60,393,207,59,219,75,177,441,387,50,41,77,156,62,33,25,13,1,93,13,13,0,10,3,12,7,259,117,75,27,13,12,48.91928608,45.06666663,2.616666698,115.6,2157,6.349095967,2,1,58,325144.1064,132128.8833,10.41666667,1672192.883,5419.06844,2202.148056,0.173611111,27869.88139,225.7945183,91.75616898,0.007233796,1161.245058,49.60400258,2.076495132,2,0,11,96,63,180,863,113,201,1109,15,224,39,796,114,539,163,24,0,658,276,53,295,1,619,8,805,238,320,10,895,146,219,536,324,716,73,108,223,5.128419101,4,0,18,2.628313892,3,1,5
BROOME,36007,Broome,62,53,85,52,77,82,88,40,58,46,53,51,50,48,94,280,275,50,57,73,71,29,38,23,26,7,5,9,6,25,27,17,30,23,21,30,33,37,35,34,41,119,108,119,111,85,95,110,208,123,133,43,22,33,136,13,14,17,124,65,14,65,9,60,152,133,18,10,38,37,12,13,9,4,1,35,2,3,0,1,1,4,3,97,32,22,11,5,4,53.36470588,51.50833333,3.516666698,115.9333334,747,6.950468541,3,1,39,365657.996,237334.0833,26.43333333,1550183.1,6094.299934,3955.568056,0.440555556,25836.385,253.9291639,164.8153356,0.018356481,1076.516042,54.17041232,2.174029451,2,0,12,15,79,117,367,32,63,432,4,74,7,304,30,183,87,4,0,237,69,2,118,1,203,3,304,143,276,17,359,34,64,223,73,300,33,12,38,5.765729585,5,0,17,2.356012658,3,1,5
CATTARAUGUS,36009,Cattaraugus,13,11,16,15,28,40,32,15,30,16,16,14,0,8,44,110,84,13,24,15,20,19,9,5,4,4,4,1,4,2,11,8,9,12,11,11,11,9,8,18,14,37,41,37,31,34,35,31,75,47,23,8,2,10,53,5,2,7,34,26,4,17,3,14,45,45,6,7,17,21,8,6,4,0,0,4,0,1,0,3,1,3,2,38,14,8,4,5,2,52.41311216,49.66666663,3.466666698,115.9666667,246,5.130081301,3,1,13,216355.0837,86173.39167,26.71666663,997904.85,3605.918062,1436.223194,0.445277777,16631.7475,150.2465859,59.8426331,0.018553241,692.9894792,53.31607113,2.162601626,2,0,14,12,8,31,125,20,5,151,0,35,0,74,38,74,6,1,0,68,11,24,68,0,45,10,73,11,64,11,123,24,38,95,51,103,22,15,33,5.971544715,5,0,18,2.574660633,3,1,5
CAYUGA,36011,Cayuga,30,19,24,24,38,57,56,25,13,16,29,24,0,9,34,158,154,30,23,28,20,14,15,10,13,5,2,6,7,11,11,12,13,12,18,18,13,17,15,18,24,54,51,52,49,53,54,42,112,73,24,4,0,6,83,12,11,12,55,37,8,25,5,40,55,58,9,11,13,23,2,5,5,1,0,12,0,3,0,1,1,1,4,61,26,15,7,4,4,48.52186869,43.26666668,3.600000032,114.1833333,355,11.63661972,3,1,51,239215.0558,125069.55,10.48333333,1538369.783,3986.917596,2084.4925,0.174722222,25639.49639,166.1215665,86.85385417,0.007280093,1068.31235,49.12170815,2.21971831,2,0,12,7,0,59,167,62,22,202,51,67,0,166,67,133,22,3,0,127,57,2,60,0,137,6,161,52,70,7,158,60,68,167,88,179,8,3,3,6.876056338,5,0,20,2.467948718,3,1,5
CHAUTAUQUA,36013,Chautauqua,34,20,33,16,39,48,53,22,22,29,37,45,2,43,45,178,130,34,36,35,41,33,14,14,5,5,1,3,3,4,10,14,7,12,18,15,25,18,15,16,20,69,65,61,48,51,48,56,109,75,60,17,1,6,56,13,11,8,54,44,15,39,14,26,103,54,4,5,18,27,11,4,1,3,0,12,1,0,0,1,1,3,0,54,29,19,4,0,0,49.04741784,45.53333333,1.749999968,115.6333333,398,4.90201005,2,1,31,199903.6387,137668.5083,14.1166667,1356014.25,3331.727312,2294.475139,0.235277778,22600.2375,138.8219713,95.60313079,0.009803241,941.6765625,50.01082275,2.145728643,2,0,13,3,1,10,142,55,55,197,4,23,2,129,6,103,23,0,0,107,59,4,30,0,77,4,180,42,98,0,135,5,37,100,68,136,9,5,15,4.683417085,3.5,0,14,2.381355932,3,1,5
CHEMUNG,36015,Chemung,17,21,29,28,39,51,36,11,15,11,23,20,6,23,44,104,124,22,35,37,25,21,16,6,2,2,1,4,1,3,5,14,5,14,14,11,9,15,8,22,9,57,42,44,36,43,36,43,96,55,36,12,5,10,41,6,9,6,67,29,4,35,4,22,56,47,6,4,16,21,7,7,4,2,0,9,1,3,0,0,2,2,2,45,20,15,11,5,3,50.63535353,47.7916667,3.566666698,115.45,301,3.986710963,2,1,14,208558.0862,137199.9667,15.78333337,1539942.35,3475.968103,2286.666111,0.263055556,25665.70583,144.8320043,95.27775463,0.010960648,1069.40441,51.70218922,2.249169435,2,0,13,7,10,42,100,19,36,173,4,16,1,155,4,77,13,3,0,90,4,0,35,0,59,19,93,35,85,18,104,19,47,95,59,112,37,5,16,5.289036545,4,0,16,2.46743295,3,1,5
CHENANGO,36017,Chenango,12,3,7,6,5,11,24,8,20,16,8,20,0,14,4,87,35,8,13,14,11,6,7,3,4,3,4,3,2,4,3,6,4,1,3,5,7,2,6,12,9,22,19,26,24,14,17,18,35,46,19,4,2,6,33,1,13,2,29,10,2,10,4,3,33,27,3,3,8,1,1,0,2,0,0,7,0,1,0,1,0,0,1,42,22,18,8,2,2,59.43715847,57.90000005,7.91666673,115.5833333,140,7.757142857,5,1,19,288603.2445,218124.7333,112.7666666,878229.3167,4810.054076,3635.412222,1.879444444,14637.15528,200.4189198,151.4755093,0.078310185,609.8814699,60.72952295,2.8,2,0,12,11,20,47,102,2,38,110,0,7,0,62,6,38,20,2,0,38,26,9,28,0,9,0,71,36,63,9,65,3,60,85,64,87,34,0,2,8.242857143,8,0,17,2.060606061,1,1,5
CLINTON,36019,Clinton,18,16,14,10,10,22,26,16,18,18,18,14,2,8,62,58,70,18,16,16,14,15,12,5,5,1,2,1,0,2,12,1,8,3,9,12,7,7,10,14,10,43,19,22,19,32,26,39,45,27,28,7,1,4,39,6,4,5,29,21,2,13,4,11,57,42,5,4,7,14,8,7,1,1,0,7,2,0,0,2,0,3,0,21,9,7,3,3,2,50.0993295,47.3083333,3.8,112.2833333,200,4.935,2,1,21,306725.3607,220284.5667,57.4333334,956080.1,5112.089344,3671.409444,0.957222223,15934.66833,213.0037227,152.9753935,0.039884259,663.9445139,51.15235539,2.09,2,0,9,2,2,7,84,12,4,90,1,17,2,61,6,65,6,0,0,52,13,7,39,0,23,0,106,21,54,0,78,31,23,37,27,43,9,10,34,4.83,4,0,12,2.539772727,3,1,5
COLUMBIA,36021,Columbia,11,15,18,22,22,24,21,17,8,2,6,13,0,25,34,64,56,15,15,15,14,8,6,2,0,1,0,2,3,4,3,6,5,10,8,6,8,6,14,13,15,25,19,33,24,20,31,27,60,37,15,9,1,4,33,5,6,3,23,15,4,12,8,4,36,20,3,4,5,10,3,1,1,3,0,5,1,0,0,2,0,0,0,22,7,5,2,3,2,50.68719512,48.94166668,4.666666667,110.5833333,179,5.782122905,4,1,17,427237.3778,361928.35,6.583333333,1294332.533,7120.622964,6032.139167,0.109722222,21572.20889,296.6926235,251.3391319,0.004571759,898.842037,51.27915714,1.94972067,2,0,8,2,2,26,73,24,22,108,16,16,4,52,4,54,13,0,0,37,45,15,21,0,28,0,75,7,52,0,73,17,8,35,9,73,6,0,27,5.273743017,5,0,15,2.388535032,3,1,5
CORTLAND,36023,Cortland,9,12,20,32,31,19,29,13,12,15,25,16,1,5,97,80,50,20,20,27,15,13,10,3,8,1,4,4,5,8,6,4,12,10,3,10,9,11,15,7,8,39,33,43,31,22,33,32,84,66,30,7,1,3,42,6,11,11,44,28,13,22,6,11,41,40,6,2,13,15,0,1,3,0,0,11,0,0,0,2,2,0,0,49,25,16,6,4,2,54.11657986,51.70833337,3.483333333,115.1166666,233,15.20171674,5,1,39,602774.7262,601516.7167,562.0666667,1174762.65,10046.24544,10025.27861,9.367777778,19579.3775,418.5935599,417.7199421,0.390324074,815.8073958,54.68745298,2.549356223,2,0,11,7,29,30,141,47,40,177,0,40,0,143,2,96,41,0,0,130,43,32,49,0,102,4,144,56,118,0,140,37,71,99,85,139,37,0,0,8.922746781,8,0,18,2.352657005,3,1,5
DELAWARE,36025,Delaware,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.35,9.35,5.516666667,13.18333333,2,2,2,2,2,8585.483333,8585.483333,8585.483333,8585.483333,143.0913889,143.0913889,143.0913889,143.0913889,5.962141204,5.962141204,5.962141204,5.962141204,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,4.5,4,5
DUTCHESS,36027,Dutchess,132,96,113,124,114,117,132,97,89,109,120,93,12,248,437,391,248,99,132,120,112,76,53,27,19,14,10,9,21,26,28,47,49,42,41,56,69,66,71,72,77,196,215,230,197,166,159,173,367,167,168,46,21,26,249,29,27,27,225,120,37,96,43,82,225,268,37,14,40,71,54,4,10,2,0,67,1,2,0,2,1,3,1,101,33,21,8,8,8,52.10960068,49.33333333,2.416666667,115.7833333,1336,12.18862275,4,1,59,519201.2657,468346.2833,23.83333333,1877605.933,8653.354428,7805.771389,0.397222222,31293.43222,360.5564345,325.2404745,0.016550926,1303.893009,52.84473667,1.926646707,1.5,0,11,44,95,89,780,147,80,880,10,114,4,666,111,524,131,3,0,487,390,60,254,0,513,3,665,345,454,1,770,122,200,331,225,536,38,17,215,6.964071856,6,0,18,2.511271416,3,1,5
ERIE,36029,Erie,259,266,300,250,308,412,385,199,234,200,275,273,45,212,666,1246,1192,253,299,332,287,233,179,103,82,38,29,23,29,53,93,96,78,93,115,117,144,139,155,175,216,538,486,488,485,453,411,500,956,713,371,99,83,99,695,87,78,100,629,294,78,306,89,262,579,622,82,54,157,188,83,28,38,21,4,112,9,10,0,17,5,28,18,577,268,158,64,18,15,52.24807176,50.25833332,1.983333333,115.9833333,3361,12.08836656,4,1,82,441003.373,334575.8,8.666666635,1707217.333,7350.056217,5576.263333,0.144444444,28453.62222,306.2523424,232.3443056,0.006018518,1185.567593,53.22565497,2.304671229,2,0,14,267,420,461,1823,311,332,2159,69,478,65,1748,364,1276,261,56,0,1326,498,139,712,8,1216,28,1424,504,1029,76,1838,337,614,1388,808,1664,387,207,396,7.345730437,6,0,22,2.346707819,3,1,5
ESSEX,36031,Essex,5,7,4,4,7,13,7,2,5,4,6,5,0,2,12,24,31,7,8,3,9,1,3,0,1,0,1,0,0,0,0,1,1,3,1,1,2,7,6,5,9,11,8,13,16,4,6,11,12,12,0,2,0,1,11,1,8,0,15,8,0,7,0,5,20,5,1,1,5,3,0,2,1,1,1,3,0,0,0,0,0,1,1,11,5,4,1,0,0,52.89126985,52.56666667,4.333333365,110,69,4.347826087,3,1,10,341160.4503,194474.4333,2590.083333,1342306.117,5686.007506,3241.240556,43.16805556,22371.76861,236.9169794,135.0516898,1.798668981,932.1570255,52.89438726,2.043478261,2,0,9,8,0,1,29,8,17,26,1,2,0,40,6,25,0,0,0,28,0,0,12,5,14,0,32,13,0,1,20,8,8,19,16,20,1,10,0,5.362318841,5,0,14,2.682539683,3,1,5
