County,FIPS,PopEst2010,SqMi2010,PopDensity2010,NumResources,PerCapitaNumConvos,PerCapitaMHResources,Urbanicity,UpstateDownstate
 ,, , , , , , , ,0
#N/A,, , , , , , , ,0
Albany,36001,304204,522.8,581.87,114,0.008267478,0.000374749,0,0
Allegany,36003,48946,1029.31,47.55,26,0.001532301,0.000531198,0,0
Broome,36005,200600,705.77,284.23,70,0.003908275,0.000348953,0,0
Cattaraugus,36007,80317,1308.35,61.39,42,0.003224722,0.000522928,0,0
Cayuga,36009,80026,691.58,115.71,29,0.004773449,0.000362382,0,0
Chautauqua,36011,134905,1060.23,127.24,50,0.003268967,0.000370631,0,0
Chemung,36013,88830,407.35,218.07,67,0.003557357,0.00075425,0,0
Chenango,36015,50477,893.55,56.49,29,0.002892406,0.000574519,0,0
Clinton,36017,82128,1037.85,79.13,41,0.00256916,0.000499221,0,0
Columbia,36019,63096,634.71,99.41,33,0.002900342,0.000523013,0,0
Cortland,36021,49336,498.76,98.92,33,0.004783525,0.000668883,0,0
Delaware,36023,47980,1442.44,33.26,23,6.25E-05,0.000479366,0,0
Dutchess,36025,297488,795.63,373.9,97,0.004574974,0.000326064,0,0
Erie,36027,919040,1042.69,881.41,207,0.003861638,0.000225235,0,0
Essex,36029,39370,1794.23,21.94,27,0.001905004,0.000685801,0,0
Franklin,36031,51599,1629.12,31.67,46,0.001996163,0.00089149,0,0
Fulton,36033,55531,495.47,112.08,39,0.003043345,0.00070231,0,0
Genesee,36035,60079,492.94,121.88,24,0.003345595,0.000399474,0,0
Greene,36037,49221,647.16,76.06,28,0.001686272,0.000568863,0,0
Hamilton,36039,4836,1717.37,2.82,12, ,0.00248139,0,0
Herkimer,36041,64519,1411.47,45.71,23,0.001518932,0.000356484,0,0
Jefferson,36043,116229,1268.59,91.62,37,0.002908052,0.000318337,0,0
Lewis,36045,27087,1274.68,21.25,21, ,0.00077528,0,0
Livingston,36047,65393,631.76,103.51,25,0.001299833,0.000382304,0,0
Madison,36049,73442,654.84,112.15,18,0.000585496,0.000245091,0,0
Montgomery,36051,50219,403.04,124.6,39,0.000457994,0.000776598,0,0
Niagara,36053,216469,522.36,414.41,60,0.001117943,0.000277176,0,0
Oneida,36055,234878,1212.43,193.72,82,0.003542264,0.000349117,0,0
Onondaga,36057,467026,778.39,599.99,110,0.004365924,0.000235533,0,0
Ontario,36059,107931,644.07,167.58,28,0.001593611,0.000259425,0,0
Orange,36061,372813,811.69,459.3,123,0.003487003,0.000329924,0,0
Orleans,36063,42883,391.26,109.6,23,0.001958818,0.000536343,0,0
Oswego,36065,122109,951.65,128.31,34,0.002645178,0.00027844,0,0
Otsego,36067,62259,1001.7,62.15,34,0.00356575,0.000546106,0,0
Putnam,36069,99710,230.31,432.94,44,0.00394143,0.00044128,0,0
Rensselaer,36071,159429,652.43,244.36,48,0.000633511,0.000301074,0,0
Saratoga,36073,219607,809.98,271.13,41,0.001429827,0.000186697,0,0
Schenectady,36075,154727,204.52,756.54,54,0.000975912,0.000349002,0,0
Schoharie,36077,32749,621.82,52.67,32,0.005587957,0.000977129,0,0
Schuyler,36079,18343,328.33,55.87,18,0.001144851,0.000981301,0,0
Seneca,36081,35251,323.71,108.9,32,0.000312048,0.000907776,0,0
St Lawrence,36083,111944,2680.38,41.76,46,0.000464518,0.00041092,0,0
Steuben,36085,98990,1390.56,71.19,32,0.003606425,0.000323265,0,0
Sullivan,36087,77547,968.13,80.1,49,0.002475918,0.000631875,0,0
Tioga,36089,51125,518.6,98.58,21,0.001232274,0.000410758,0,0
Tompkins,36091,101564,474.65,213.98,40,0.003583947,0.00039384,0,0
Ulster,36093,182493,1124.24,162.33,71,0.003194643,0.000389056,0,0
Warren,36095,65707,866.95,75.79,33,0.006696395,0.00050223,0,0
Washington,36097,63216,831.18,76.06,11,1.58E-05,0.000174007,0,0
Wayne,36099,93772,603.83,155.3,31,0.00210084,0.000330589,0,0
Wyoming,36101,42155,592.75,71.12,35,0.000806547,0.000830269,0,0
Yates,36103,25348,338.14,74.96,31,0.000986271,0.001222976,0,0
Bronx,36105,1385108,42.1,32900.43,319,0.001635252,0.000230307,1,1
Kings,36107,2504700,70.82,35367.13,385,0.001150637,0.000153711,1,1
Monroe,36109,744344,657.21,1132.58,147,0.003917544,0.000197489,1,0
Nassau,36111,1339532,284.72,4704.73,184,0.002765891,0.000137361,1,0
New York,36113,1585873,22.83,69464.43,455,0.004941127,0.000286908,1,1
Queens,36115,2230722,108.53,20553.97,276,0.001374891,0.000123727,1,1
Richmond,36117,468730,58.37,8030.32,90,0.001521132,0.000192008,1,1
Rockland,36119,311687,173.55,1795.95,76,0.002476844,0.000243834,1,0
Suffolk,36121,1493350,912.05,1637.36,274,0.002862691,0.00018348,1,0
Westchester,36123,949113,430.5,2204.68,244,0.002332704,0.000257082,1,0